Genel Sıra No;Genel Sıra No (Önceki Yıl);Kuruluş Adı;Yıl;Üretimden Satışlar (Net) (TL);Üretimden Satışlar - Kamu/Özel Sıra No;Net Satışlar (TL);Net Satışlar - Genel Sıra No;Net Satışlar - Kamu/Özel Sıra No;Brüt Katma Değer (TL);Brüt Katma Değer - Genel Sıra No;Brüt Katma Değer - Kamu/Özel Sıra No;Özkaynak (TL);Özkaynak - Genel Sıra No;Özkaynak - Kamu/Özel Sıra No;Aktif Toplamı (TL);Aktif Toplamı - Genel Sıra No;Aktif Toplamı - Kamu/Özel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) (TL);Dönem Karı/Zararı (Vergi Öncesi) - Genel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) - Kamu/Özel Sıra No;FAVÖK (TL);FAVÖK - Genel Sıra No;FAVÖK - Kamu/Özel Sıra No;İhracat (Bin $);İhracat - Genel Sıra No;İhracat - Kamu/Özel Sıra No;Ücretle Çalışanlar Ortalaması (Kişi);Ücretle Çalışanlar Ortalaması - Genel Sıra No;Ücretle Çalışanlar Ortalaması - Kamu/Özel Sıra No;Bağlı Olduğu Oda;Sermaye Payı / Kamu;Sermaye Payı / Özel;Sermaye Payı / Yabancı;Sermaye Payı / Halka Açık;NACE;NACE Kodu;ISIC Sektör Tanımı;ISIC Kodu;Web Adresi;İl;İlçe;Adres;Telefon 1;Telefon 2;Eposta;Posta Kodu
170;200;HT Solar Enerji A.Ş.;2023;8.089.978.093;162;17.854.975.929;80;76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;395.510;35;33;453;388;375;İstanbul Sanayi Odası;-;15,00;85,00;-;Bilgisayarların, elektronik ve optik ürünlerin imalatı;26;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.htsolar.com.tr;İstanbul;Tuzla;İstanbul Endüstri ve Ticaret Serbest Bölgesi Aydınlı SB Mah. 1. Sok. No.1;(216) 5047273;-;trinfo@ht-saae.com;34957
171;176;AYD Otomotiv Endüstri San. ve Tic. A.Ş.;2023;8.048.467.450;163;8.107.477.164;204;193;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Konya Sanayi Odası;-;100,00;-;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.aydtr.com;Konya;Selçuklu;Büyükkayacıkosb Mah. Vali İhsan Dede Cad. No.7/1 ;(332) 2216400;(332) 2216434;info@aydtr.com;42160
172;-;Vatan Kablo Metal Endüstri ve Ticaret A.Ş.;2023;8.032.373.110;164;8.108.368.422;203;192;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;131.740;158;155;-;-;-;Çorlu Ticaret ve Sanayi Odası;-;100,00;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.vatan.com.tr;İstanbul;Ümraniye;Yamanevler Mah. Ömer Faik Atakan Cad. Yılmaz Plaza No.3 Kat:3;(212) 2103331;-;vatan@vatan.com.tr;-
173;197;Türk Tuborg Bira ve Malt Sanayi A.Ş.;2023;8.028.907.549;165;9.014.698.988;182;172;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ege Bölgesi Sanayi Odası;-;-;95,69;4,31;İçeceklerin imalatı;11;İçki Sanayi (Alkollü ve Alkolsüz);313;www.turktuborg.com.tr;İzmir;Bornova;Egemenlik Mah. Kemalpaşa Cad. No.258 Işıkkent;(232) 3992000;(232) 3992374;info@turktuborg.com.tr;35070
174;114;Sanko Tekstil İşletmeleri San. ve Tic. A.Ş.;2023;7.997.781.895;166;8.479.972.779;198;187;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;105.004;205;202;6.639;17;16;Gaziantep Sanayi Odası;-;100,00;-;-;Tekstil ürünlerinin imalatı;13;Dokuma Sanayi;321;www.sanko.com.tr;Gaziantep;Şehitkamil;İbrahimli Mah. Sanko Sok. Sanko Holding Yönetim Binası No.12/A;(342) 2113000;(342) 2116325;sanko@sankoholding.com.tr;27580
175;297;Temsa Skoda Sabancı Ulaşım Araçları A.Ş.;2023;7.923.027.877;167;8.368.368.956;200;189;-;-;-;-;-;-;8.344.789.733;226;216;-;-;-;-;-;-;181.692;114;111;1.592;147;136;Adana Sanayi Odası;-;50,00;50,00;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.temsa.com;Adana;Seyhan;Sarıhamzalı Mah. Turhan Cemal Beriker Bulvarı No.563/A;(322) 4410226;(322) 3556216;info@temsa.com;01110
176;188;YATAŞ Yatak ve Yorgan San. Tic. A.Ş.;2023;7.919.378.599;168;11.034.626.271;149;140;2.783.911.403;129;122;4.057.084.599;224;211;9.557.380.427;192;184;788.261.258;176;169;1.501.967.238;175;170;35.028;339;334;3.642;51;46;Kayseri Sanayi Odası;-;52,02;-;47,98;Mobilya imalatı;31;Ağaç, Mobilya ve Mefruşat Sanayi;332;www.yatas.com.tr;Kayseri;Melikgazi;Organize Sanayi Bölgesi 18. Cad. No.6;(352) 3212400;(216) 3095410;yatas@yatas.com.tr;38170
177;227;CW Enerji Mühendislik Tic. ve San. A.Ş.;2023;7.892.036.989;169;8.971.546.582;184;174;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Antalya Ticaret ve Sanayi Odası;-;76,80;-;23,20;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28;Makine Sanayi (Elektrikli Olanlar Hariç);382;www.cw-enerji.com;Antalya;Döşemealtı;Antalya Organize Sanayi Bölgesi 1. Kısım Atatürk Bulvarı No.20;(242) 2290054;(242) 2290105;muhasebe@cw-enerji.com;07190
178;192;Koç Metalurji A.Ş.;2023;7.855.956.580;170;8.852.290.823;188;178;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Dörtyol Ticaret ve Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.kocmetalurji.com.tr;Hatay;Payas;Karşı OSB Mah. Demirciler Sok. No.7;(326) 7551991;(212) 3438813;muhasebehadde@kocmetalurji.com.tr;31900
179;250;Türk Demir Döküm Fabrikaları A.Ş.;2023;7.848.784.583;171;9.687.559.259;168;158;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.073;222;210;İstanbul Sanayi Odası;-;-;100,00;-;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25;Metal Eşya Sanayi;381;www.demirdokum.com.tr;İstanbul;Ataşehir;Atatürk Mah. Meriç Cad. No.1-4-4;(216) 5162000;(507) 4585781;muhasebe@demirdokum.com.tr;34688
180;212;Samsung Electronics Elektronik San. ve Tic. Ltd. Şti.;2023;7.823.370.335;172;7.892.964.614;207;196;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Çerkezköy Ticaret ve Sanayi Odası;-;-;100,00;-;Bilgisayarların, elektronik ve optik ürünlerin imalatı;26;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.samsung.com;Tekirdağ;Kapaklı;Mimar Sinan Mah. 103. Cad. No.72;(282) 7359045;(543) 4164454;setk-p.bi@samsung.com;59510
181;137;Makine ve Kimya Endüstrisi A.Ş.;2023;7.787.621.255;9;20.921.038.269;65;4;5.867.201.907;54;5;22.995.101.336;41;4;48.402.764.305;35;3;3.156.637.310;47;4;2.050.923.975;134;4;454.183;29;2;3.180;64;8;Kamu;100,00;-;-;-;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25;Metal Eşya Sanayi;381;www.mke.gov.tr;Ankara;Yenimahalle;Emniyet Mah. Dögol Cad. No.2 Anadolu Meydanı;(312) 2961000;(312) 2961350;mkemali@mke.gov.tr;06560
182;-;-;2023;-;173;-;178;168;-;139;131;-;75;71;-;98;92;-;300;290;-;280;272;-;185;182;-;62;55;İstanbul Sanayi Odası;-;94,56;5,44;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;-;-;-;-;-;-;-;-
183;174;CMS Jant ve Makina Sanayii A.Ş.;2023;7.717.275.862;174;9.213.331.301;177;167;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ege Bölgesi Sanayi Odası;-;100,00;-;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.cms.com.tr;İzmir;Bornova;Kemalpaşa Cad. No.302 Pınarbaşı ;(232) 3991000;(232) 3991100;info@cms.com.tr;35060
184;266;Sofra Yemek Üretim ve Hizmet A.Ş.;2023;7.709.687.503;175;8.012.105.846;205;194;3.065.899.485;117;110;-;-;-;-;-;-;423.050.491;261;252;576.138.624;380;369;-;-;-;11.913;4;4;İstanbul Sanayi Odası;-;-;100,00;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.sofragrup.com;İstanbul;Üsküdar;Ünalan Mah. Libadiye Cad. Emaar Square F Blok No.82 F İç Kapı No.77;(216) 5789800;(216) 5789765;info@sofragrup.com;34700
185;268;Hugo Boss Tekstil Sanayii Ltd. Şti.;2023;7.660.241.242;176;7.660.241.242;214;203;2.185.512.701;165;156;1.481.242.089;394;381;2.373.383.515;458;445;85.648.130;369;359;313.869.105;447;436;235.889;89;86;5.208;24;21;Ege Bölgesi Sanayi Odası;-;-;100,00;-;Giyim eşyalarının imalatı;14;Giyim Eşya Sanayi;322;www.hugoboss.com.tr;İzmir;Gaziemir;Zafer SB Mah. Boss Sok. No.10 Ege Serbest Bölgesi;(232) 2983000;(232) 2983013;finans_turkey@hugoboss.com;35410
186;243;KÇS Kahramanmaraş Çimento Beton Sanayi ve Madencilik İşletmeleri A.Ş.;2023;7.586.392.271;177;7.600.132.430;217;206;-;-;-;20.612.860.423;46;42;26.483.248.169;69;64;-;-;-;-;-;-;21.494;380;374;1.437;161;150;Kahramanmaraş Ticaret ve Sanayi Odası;-;100,00;-;-;Diğer metalik olmayan mineral ürünlerin imalatı;23;Taş ve Toprağa Dayalı Diğer Sanayi;369;www.kcskipascimento.com.tr;Kahramanmaraş;Dulkadiroğlu;Karacasu Karaziyaret Mah. Fatih Sultan Mehmet Cad. No.1/A;(344) 3391180;(344) 2363800;kipas@kipascimento.com;46100
187;173;Nexans Türkiye Endüstri ve Ticaret A.Ş.;2023;7.551.724.339;178;7.572.889.023;218;207;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;-;100,00;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.nexans.com.tr;İstanbul;Şişli;Mecidiyeköy Mah. Oğuz Sok. No.4 Rönesans Biz Plaza K.A/1;(212) 2660160;-;info.turkey@nexans.com;34387
188;204;Kimteks Poliüretan San. ve Tic. A.Ş.;2023;7.510.096.394;179;7.600.334.649;216;205;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kocaeli Sanayi Odası;-;72,87;-;27,13;Kimyasalların ve kimyasal ürünlerin imalatı;20;Ana Kimya Sanayi;351;www.kimpur.com;İstanbul;Ümraniye;Saray Mah. Dr. Adnan Büyükdeniz Cad. No.13, B Blok, Kat 2, İç Kapı No.6;(212) 8091550;-;info@kimpur.com;34768
189;218;Şa-Ra Enerji İnşaat Tic. ve San. A.Ş.;2023;7.486.909.936;180;7.830.493.873;208;197;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63.669;277;273;-;-;-;Ankara Sanayi Odası;-;100,00;-;-;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25;Metal Eşya Sanayi;381;www.sara.com.tr;Ankara;Çankaya;Ümit Mah. 2479. Cad. No.2/15 Ümitköy;(312) 2852424;-;info@sara.com.tr;06810
190;161;Arpaş İhracat İthalat ve Pazarlama A.Ş.;2023;7.432.691.913;181;7.442.276.227;225;214;723.238.625;402;389;4.765.360.305;196;185;8.895.135.726;215;206;16.977.801;395;383;-921.908.668;500;487;279.704;65;63;1.296;185;174;İstanbul Sanayi Odası;-;100,00;-;-;Mücevherat, bijuteri eşyaları ve ilgili ürünlerin imalatı;32.1;"Diğer İmalat Sanayi
";390;www.arpas.com.tr;İstanbul;Esenyurt;Selahaddin Eyyubi Mah. Büyük Ayazma Cad. No.78-80;(212) 5579120;(212) 6413615;finans@arpas.com;34517
191;153;Lila Kağıt San. ve Tic. A.Ş.;2023;7.416.858.961;182;7.489.538.959;222;211;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;187.522;111;108;1.071;223;211;İstanbul Sanayi Odası;-;100,00;-;-;Kağıt ve kağıt ürünlerinin imalatı;17;Kağıt ve Kağıt Ürünleri Sanayi;341;www.lilakagit.com;İstanbul;Kadıköy;Merdivenköy Mah. Nur Sok. Business İstanbul A Blok Kat 16-17;(212) 4363636;(212) 4383645;info@lilakagit.com;34235
192;499;Schmid Pekintaş Güneş Enerji Sistemleri San. ve Tic. A.Ş.;2023;7.385.455.794;183;7.418.839.318;229;218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Düzce Ticaret ve Sanayi Odası;-;75,00;25,00;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.schmid-pekintas.com;İstanbul;Şişli;Fulya Mah. Büyükdere Cad. No.32 K.1 No.5 Mecidiyeköy;(212) 2670061;(212) 2120222;info@schmid-pekintas.com;34387
193;196;Mitaş Endüstri San. Tic. A.Ş.;2023;7.349.984.527;184;7.742.140.804;211;200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;191.646;107;104;-;-;-;Ankara Sanayi Odası;-;100,00;-;-;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25;Metal Eşya Sanayi;381;www.mitasindustry.com;Ankara;Sincan;ASO 2. ve 3. Organize Sanayi Bölgesi Alcı OSB Mah. 2001 Cad. No.19;(312) 2962000;(312) 2962188;info@mitasindustry.com;06930
194;246;Sumitomo Rubber AKO Lastik San. ve Tic. A.Ş.;2023;7.318.791.955;185;7.353.478.316;230;219;-;-;-;488.096.372;482;469;8.903.749.397;214;205;-;-;-;-;-;-;264.387;73;71;2.616;84;75;Çankırı Ticaret ve Sanayi Odası;-;20,00;80,00;-;Kauçuk ve plastik ürünlerin imalatı;22;Lastik Ürünleri Sanayi;355;www.sumitomorubberako.com.tr;Çankırı;Merkez;Tüneyköy Mevkii Yakınkent OSB 1.Cadde No.1 ;(376) 2189105;(376) 2189100;info@sumitomorubberako.com.tr;18000
195;265;Elin Elektrik İnşaat Müşavirlik Proje Taahhüt Tic. ve San. A.Ş.;2023;7.302.882.819;186;7.687.245.073;212;201;2.076.292.690;177;168;3.062.789.442;276;263;4.634.484.723;345;332;2.088.911.617;73;67;1.913.737.204;138;133;51;463;454;725;304;291;Ankara Sanayi Odası;-;100,00;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.elin.com.tr;Ankara;Çankaya;Ümit Mah. 2535. Sok. No.1 ;(312) 2353838;-;elin@elin.com.tr;06810
196;294;Boğaziçi Beton San. ve Tic. A.Ş.;2023;7.273.280.320;187;7.480.599.772;223;212;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;70,00;-;30,00;Diğer metalik olmayan mineral ürünlerin imalatı;23;Taş ve Toprağa Dayalı Diğer Sanayi;369;www.bogazicibeton.com;İstanbul;Sarıyer;Ayazağa Mah. Kemerburgaz Yolu Cad. No.53;(212) 2897010;-;info@bogazicibeton.com;34396
197;180;Memişoğlu Tarım Ürünleri Ticaret Ltd. Şti.;2023;7.216.857.323;188;7.634.743.121;215;204;347.238.036;462;449;3.596.417.739;249;236;6.287.179.200;285;273;543.167.339;230;222;680.631.312;347;336;119.046;183;180;680;317;304;Mersin Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.tatbakliyat.com;Mersin;Akdeniz;Toroslar Mah. Atatürk-8 Bulvarı Memişoğlu Sit. No.1/1;(324) 4540404;(324) 4440828;tatbakliyat@tatbakliyat.com;33100
198;171;Kadooğlu Yağ San. ve Tic. A.Ş.;2023;7.189.459.887;189;8.259.122.190;202;191;842.911.918;381;368;1.451.672.435;396;383;3.332.486.190;415;402;69.531.478;379;369;838.017.147;302;293;179.229;115;112;319;433;420;Gaziantep Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.kadoogluyag.com;Gaziantep;Şehitkamil;4. Organize Sanayi Bölgesi 83422 Nolu Cad. No.11 Başpınar;(342) 3570410;(342) 3570410;info@kadoogluyag.com;27630
199;-;-;2023;-;190;-;228;217;-;256;244;-;328;315;-;373;360;-;131;125;-;221;215;-;228;225;-;395;382;Ege Bölgesi Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;-;-;-;-;-;-;-;-
200;384;Verde Yağ Besin Maddeleri San. ve Tic. A.Ş.;2023;7.144.187.123;191;7.144.187.123;238;227;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;109.806;198;195;-;-;-;Ege Bölgesi Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.olioverde.com.tr;İzmir;Torbalı;Karakuyu Mah. Fatih Cad. No.118 ;(232) 8662810;-;info@olioverde.com.tr;35860
201;134;Özkan Demir Çelik Sanayi A.Ş.;2023;7.131.280.046;192;7.752.667.342;210;199;-;-;-;9.808.145.579;102;96;14.992.283.636;127;120;-;-;-;-;-;-;160.590;134;131;845;274;261;Ege Bölgesi Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.ozkansteel.com;İzmir;Aliağa;Bozköy Mah. 13. Cad. No.4;(232) 6251515;-;info@ozkansteel.com;35800
202;230;Yarış Kabin San. ve Tic. A.Ş.;2023;7.119.765.716;193;7.561.691.856;220;209;2.065.890.142;179;170;4.206.487.757;215;202;7.221.740.377;254;243;1.127.045.465;135;129;1.476.463.295;179;174;57.763;286;282;1.334;177;166;Balıkesir Sanayi Odası;-;100,00;-;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.yariskabin.com.tr;Balıkesir;Altıeylül;Gaziosmanpaşa Organize Sanayi Bölgesi Mah. 4. Cad. No.26;(266) 2830130;(266) 2811391;info@yariskabin.com.tr;10100
203;170;Akkim Kimya San. ve Tic. A.Ş.;2023;7.094.326.741;194;7.273.447.827;231;220;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Kimyasalların ve kimyasal ürünlerin imalatı;20;Ana Kimya Sanayi;351;www.akkim.com.tr;İstanbul;Beyoğlu;Gümüşsuyu Mah. Miralay Şefik Bey Sok. Akhan No.15/2;(212) 3817100;(212) 2583122;akkim@akkim.com.tr;34357
204;166;Erdemir Madencilik San. ve Tic. A.Ş.;2023;7.071.359.191;195;7.071.359.191;241;230;2.465.410.178;138;130;7.880.306.836;130;123;8.908.238.941;213;204;1.927.958.094;76;70;1.910.555.504;139;134;-;-;-;360;414;401;Sivas Ticaret ve Sanayi Odası;-;100,00;-;-;Metal cevherleri madenciliği;07;"Madencilik ve Taşocakçılığı
";210;www.erdemirmaden.com.tr;Sivas;Divriği;Cürek Yolu 5. km ;(346) 4191121;(346) 4191122;ermaden@erdemirmaden.com.tr;58330
205;183;Nuh Çimento Sanayi A.Ş.;2023;7.055.930.456;196;7.196.433.381;234;223;2.195.310.067;164;155;17.080.580.434;60;56;20.150.373.951;93;88;1.421.561.960;115;109;1.564.773.191;166;161;193.708;106;103;700;312;299;Kocaeli Sanayi Odası;-;60,45;-;39,55;Diğer metalik olmayan mineral ürünlerin imalatı;23;Taş ve Toprağa Dayalı Diğer Sanayi;369;www.nuhcimento.com.tr;Kocaeli;Körfez;Hacı Akif Mah. D-100 Karayolu Cad. No.92 Hereke;(262) 3162000;-;nuhcimento@nuhcimento.com.tr;41800
206;185;Altek Döküm Hadde Mamulleri San. ve Tic. A.Ş.;2023;7.047.432.686;197;7.093.867.115;240;229;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;166.442;128;125;322;431;418;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.altekdokum.com;İstanbul;Beylikdüzü;Bakır Pirinç San. Koop. Kurtoğlu Cad. No.10;(212) 8751040;(212) 8751041;altek@altekdokum.com;34524
207;79;Posco Assan TST Çelik Sanayi A.Ş.;2023;7.032.800.954;198;7.253.461.409;232;221;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kocaeli Sanayi Odası;-;30,00;70,00;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.poscoassan.com.tr;Kocaeli;İzmit;Asım Kibar Organize Sanayi Bölgesi 1. Cadde No.4 Alikahya;(262) 3106000;(263) 3106049;info@poscoassan.com.tr;41310
208;184;Türk Prysmian Kablo ve Sistemleri A.Ş.;2023;6.989.297.181;199;9.129.686.214;180;170;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Bursa Ticaret ve Sanayi Odası;-;-;83,75;16,25;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.prysmiangroup.com;Bursa;Mudanya;Ömerbey Mah. Bursa Asfaltı Cad. No.51;(224) 2703000;(224) 2703211;tpks@prysmiangroup.com;16941
209;139;Eti Alüminyum A.Ş.;2023;6.864.642.554;200;6.864.642.555;248;237;3.254.997.102;109;102;-;-;-;-;-;-;1.703.019.681;88;82;-;-;-;-;-;-;1.661;138;127;Konya Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.etialuminyum.com;Konya;Seydişehir;Atatürk Cad.;(332) 5823030;-;info@etialuminyum.com;42370
210;241;İstikbal Mobilya San. ve Tic. A.Ş.;2023;6.864.577.231;10;10.526.413.870;156;10;1.927.698.575;194;11;6.278.498.488;153;9;9.430.906.402;197;9;519.610.929;237;9;1.196.046.619;222;7;56.393;291;5;2.879;75;9;Kamu;100,00;-;-;-;Mobilya imalatı;31;Ağaç, Mobilya ve Mefruşat Sanayi;332;www.istikbal.com.tr;Kayseri;Melikgazi;Kayseri OSB Mah. 6. Cad. No.35;(352) 3220101;(352) 3211850;iletisim@istikbal.com.tr;38070
211;168;Kaleseramik Çanakkale Kalebodur Seramik Sanayi A.Ş.;2023;6.857.748.020;201;7.508.523.637;221;210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75.514;256;252;-;-;-;İstanbul Sanayi Odası;-;64,37;14,38;21,25;Diğer metalik olmayan mineral ürünlerin imalatı;23;Çanak, Çömlek, Çini, Porselen Sanayi;361;www.kale.com.tr;İstanbul;Beşiktaş;Büyükdere Cad. Kale Seramik Binası 4.Levent;(212) 3715253;(286) 4161717;iletisim@kale.com.tr;34330
212;358;Nursan Kablo Donanımları San. ve Tic. A.Ş.;2023;6.845.071.666;202;8.698.126.382;191;181;-;-;-;2.855.408.124;293;280;9.258.205.240;201;192;-;-;-;-;-;-;29.152;357;352;4.837;30;27;Tavşanlı Ticaret ve Sanayi Odası;-;100,00;-;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.nursankd.com;İstanbul;Kağıthane;Kuştepe Mah. Leylak Sok. Nursanlar İş Merkezi No.1 K.9 Şişli;(212) 8559300;(545) 3248090;info@nursankd.com;34387
213;259;Assan Hanil Otomotiv San. ve Tic. A.Ş.;2023;6.800.232.381;203;7.422.454.014;227;216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.551;154;143;Kocaeli Sanayi Odası;-;60,00;40,00;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.assanhanil.com.tr;Kocaeli;İzmit;Atatürk (OSB) Mah. Vatan Cad. No.1/1;(262) 3176800;(554) 2310624;info@assanhanil.com.tr;41305
214;233;İnci GS Yuasa Akü San. ve Tic. A.Ş.;2023;6.798.920.737;204;6.812.678.917;253;242;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Manisa Ticaret ve Sanayi Odası;-;40,00;60,00;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.incigsyuasa.com;Manisa;Yunusemre;Organize Sanayi Bölgesi 2. Kısım Gaziler Cad. No.6;(236) 2332510;(236) 2332510;info@incigsyuasa.com;45030
215;287;Coşkunöz Metal Form Makina Endüstri ve Ticaret A.Ş.;2023;6.790.933.393;205;8.467.335.072;199;188;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Bursa Ticaret ve Sanayi Odası;-;100,00;-;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.coskunoz.com.tr;Bursa;Nilüfer;Organize Sanayi Bölgesi Mavi Cad. No.5;(224) 2800100;(531) 3421858;info@coskunoz.com.tr;16215
216;279;Arbel Bakliyat Hububat San. ve Tic. A.Ş.;2023;6.783.273.652;206;18.520.314.204;74;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Mersin Ticaret ve Sanayi Odası;-;-;100,00;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.arbel.com.tr;Mersin;Akdeniz;Yeni Mah. Cumhuriyet Bulvarı 73/4 Kazanlı  ;(324) 2411111;-;arbel@arbel.com.tr;33281
217;222;Koçak Farma İlaç ve Kimya Sanayi A.Ş.;2023;6.772.991.502;207;6.773.208.102;255;244;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Temel eczacılık ürünlerinin ve eczacılığa ilişkin malzemelerin imalatı;21;Diğer Kimyasal Ürünler Sanayi;352;www.kocakfarma.com;İstanbul;Bağcılar;Mahmutbey Mah. 2477. Sok. No.23;(212) 4103950;(212) 4103950;info@kocakfarma.com;34200
218;329;Balsu Gıda San. ve Tic. A.Ş.;2023;6.769.986.462;208;7.763.527.489;209;198;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Sakarya Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.balsugida.com;Sakarya;Hendek;Çağlayan Mah. Balsu Cad. No.2;(264) 6148477;(264) 6148478;info@balsugida.com;54300
219;179;Mescier Demir Çelik San. ve Tic. A.Ş.;2023;6.760.181.872;209;7.182.522.435;236;225;1.325.800.335;272;260;2.899.813.921;290;277;7.194.782.360;256;245;-214.634.244;433;421;792.683.503;312;302;171.496;123;120;869;269;256;Karabük Ticaret ve Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.mescierdc.com.tr;Karabük;Merkez;Kurtuluş Mah. Sanayi Bölgesi No.50;(370) 4156300;(378) 2661215;info@mescier.com.tr;78200
